"sysrole","scope_"
"SYSADMIN","admin:scope:create"
"SYSADMIN","admin:scope:read"
"SYSADMIN","admin:scope:update"
"SYSADMIN","admin:scope:list"
"SYSADMIN","admin:scope:pem:add"
"SYSADMIN","admin:scope:pem:remove"
"SYSADMIN","admin:scope:pem:list"
"SYSADMIN","admin:api:list"
"SYSADMIN","admin:api:create"
"SYSADMIN","admin:api:read"
"SYSADMIN","admin:api:update"
"SUPER_SYSADMIN","admin:api:delete"
"SYSADMIN","admin:api:pem:list"
"SYSADMIN","admin:api:pem:add"
"SYSADMIN","admin:api:pem:remove"
"SYSADMIN","admin:api:scope:add"
"SYSADMIN","admin:api:scope:list"
"ADMIN","admin:emp:create"
"ADMIN","admin:emp:read"
"ADMIN","admin:emp:update"
"SUPER_ADMIN","admin:emp:delete"
"ADMIN","admin:emp:list"
"ADMIN","admin:emp:child:list"
"ADMIN","admin:emp:tree"
"ADMIN","admin:emp:role:add"
"ADMIN","admin:emp:role:remove"
"ADMIN","admin:emp:role:list"
"ADMIN","admin:emp:level:add"
"ADMIN","admin:emp:level:remove"
"ADMIN","admin:emp:level:list"
"ADMIN","admin:emp:parent:add"
"ADMIN","admin:emp:parent:remove"
"ADMIN","admin:emp:parent:list"
"ADMIN","admin:group:create"
"ADMIN","admin:group:read"
"ADMIN","admin:group:update"
"SUPER_ADMIN","admin:group:delete"
"ADMIN","admin:group:list"
"ADMIN","admin:group:tree"
"ADMIN","admin:group:member:add"
"ADMIN","admin:group:member:remove"
"ADMIN","admin:group:member:list"
"ADMIN","admin:group:parent:org:add"
"ADMIN","admin:group:parent:org:remove"
"ADMIN","admin:group:parent:org:list"
"SYSADMIN","admin:menu:create"
"SYSADMIN","admin:menu:read"
"SYSADMIN","admin:menu:update"
"SUPER_SYSADMIN","admin:menu:delete"
"SYSADMIN","admin:menu:list"
"SYSADMIN","admin:menu:sort"
"SYSADMIN","admin:menu:tree"
"SYSADMIN","admin:menu:pem:add"
"SYSADMIN","admin:menu:pem:remove"
"SYSADMIN","admin:menu:pem:list"
"ADMIN","admin:org:create"
"ADMIN","admin:org:read"
"ADMIN","admin:org:update"
"SUPER_ADMIN","admin:org:delete"
"ADMIN","admin:org:tree"
"ADMIN","admin:org:child:list"
"ADMIN","admin:org:parent:add"
"ADMIN","admin:org:parent:remove"
"ADMIN","admin:org:parent:list"
"ADMIN","admin:level:create"
"ADMIN","admin:level:read"
"ADMIN","admin:level:update"
"SUPER_ADMIN","admin:level:delete"
"ADMIN","admin:level:list"
"ADMIN","admin:level:child:list"
"ADMIN","admin:level:emp:list"
"ADMIN","admin:level:parent:add"
"ADMIN","admin:level:parent:remove"
"ADMIN","admin:level:parent:list"
"ADMIN","admin:level:parent:org:add"
"ADMIN","admin:level:parent:org:remove"
"ADMIN","admin:level:parent:org:list"
"ADMIN","admin:role:create"
"ADMIN","admin:role:read"
"SUPER_SYSADMIN","admin:scope:delete"
"ADMIN","admin:role:update"
"SUPER_ADMIN","admin:role:delete"
"ADMIN","admin:role:list"
"ADMIN","admin:role:child:list"
"ADMIN","admin:role:emp:list"
"ADMIN","admin:role:parent:add"
"ADMIN","admin:role:parent:remove"
"ADMIN","admin:role:parent:list"
"ADMIN","admin:role:parent:org:add"
"ADMIN","admin:role:parent:org:remove"
"ADMIN","admin:role:parent:org:list"
"SYSADMIN","admin:sysrole:create"
"SYSADMIN","admin:sysrole:read"
"SYSADMIN","admin:sysrole:update"
"SUPER_SYSADMIN","admin:sysrole:delete"
"SYSADMIN","admin:sysrole:list"
"SYSADMIN","admin:sysrole:user:add"
"SYSADMIN","admin:sysrole:user:remove"
"SYSADMIN","admin:sysrole:user:list"
"SUPER_SYSADMIN","admin:sysrole:create"
"SUPER_SYSADMIN","admin:scope:create"
"NORMAL","admin:scope:create"
"SUPER_ADMIN","admin:sysrole:update"
"SYSADMIN","admin:api:scope:remove"
"SUPER_ADMIN","admin:sysrole:user:list"
"SUPER_ADMIN","admin:scope:delete"
"SUPER_SYSADMIN","admin:menu:pem:list"
"SYSADMIN","admin:emp:parent:remove"
